Country,Number
"A1","33"
"A2","3"
"AD","1"
"AE","31"
"AF","3"
"AG","4"
"AL","13"
"AM","13"
"AO","1"
"AP","6"
"AR","61"
"AT","71"
"AU","198"
"AW","1"
"AX","1"
"AZ","6"
"BA","13"
"BB","1"
"BD","96"
"BE","74"
"BF","1"
"BG","55"
"BH","7"
"BJ","1"
"BN","1"
"BO","15"
"BR","580"
"BW","1"
"BY","54"
"CA","378"
"CD","1"
"CG","1"
"CH","62"
"CI","2"
"CL","46"
"CM","8"
"CN","283"
"CO","100"
"CR","18"
"CU","1"
"CV","1"
"CY","10"
"CZ","87"
"DE","448"
"DJ","1"
"DK","63"
"DO","11"
"DZ","44"
"EC","462"
"EE","23"
"EG","249"
"ES","452"
"ET","20"
"EU","41"
"FI","57"
"FJ","2"
"FR","273"
"GB","634"
"GE","7"
"GH","28"
"GI","1"
"GM","1"
"GR","193"
"GT","17"
"GY","4"
"HK","56"
"HN","3"
"HR","42"
"HT","4"
"HU","81"
"ID","80"
"IE","48"
"IL","91"
"IN","2228"
"IQ","3"
"IR","220"
"IS","8"
"IT","196"
"JM","7"
"JO","20"
"JP","87"
"KE","26"
"KG","4"
"KH","4"
"KR","90"
"KW","5"
"KZ","38"
"LB","19"
"LC","1"
"LK","84"
"LS","1"
"LT","35"
"LU","5"
"LV","17"
"LY","3"
"MA","70"
"MC","1"
"MD","13"
"ME","7"
"MG","5"
"MK","28"
"MM","2"
"MN","8"
"MT","6"
"MU","8"
"MW","1"
"MX","207"
"MY","88"
"MZ","2"
"NA","2"
"NC","1"
"NE","1"
"NG","65"
"NI","3"
"NL","154"
"NO","37"
"NP","27"
"NZ","32"
"OM","6"
"PA","4"
"PE","81"
"PG","1"
"PH","69"
"PK","272"
"PL","205"
"PR","12"
"PS","8"
"PT","121"
"PY","3"
"QA","16"
"RE","2"
"RO","193"
"RS","71"
"RU","472"
"SA","103"
"SC","3"
"SD","7"
"SE","114"
"SG","97"
"SI","33"
"SK","30"
"SN","4"
"SS","1"
"SV","5"
"SY","15"
"SZ","2"
"TH","63"
"TJ","1"
"TN","61"
"TR","154"
"TT","6"
"TW","74"
"TZ","4"
"UA","219"
"UG","14"
"US","2956"
"UY","19"
"UZ","9"
"VE","29"
"VN","93"
"YE","6"
"ZA","55"
"ZM","1"
"ZW","2"
